id,is_fraud
111523,1
3799673,1
3209936,1
921603,1
5752385,1
3087429,1
4299673,1
2730356,1
1160281,1
1022853,1
4864933,1
3955141,1
1539004,1
2403411,1
663210,1
5329419,1
1413777,1
584394,1
2996277,1
4979500,1
2583554,1
2946746,1
5561283,1
2384172,1
234538,1
5198447,1
3928068,1
2166834,1
805311,1
5560227,1
2938668,1
1656967,1
4060264,1
2406554,1
5026095,1
3678515,1
4422625,1
4076554,1
2196970,1
4073783,1
5012289,1
5549179,1
3229763,1
5422081,1
639032,1
2254701,1
5328271,1
4559687,1
461828,1
5604976,1
3148954,1
1348775,1
1506282,1
5445376,1
19249,1
505577,1
1050940,1
120176,1
4135646,1
1957650,1
4052777,1
386700,1
2504078,1
485049,1
1601442,1
2879337,1
4397755,1
3720792,1
4871514,1
4263939,1
5779711,1
213622,1
3110518,1
1974908,1
5397362,1
4082525,1
5158849,1
616199,1
2577807,1
5564312,1
897041,1
3422519,1
5229530,1
1036917,1
1574093,1
4871227,1
1829816,1
5067623,1
4736252,1
4223376,1
2548549,1
5042522,1
3170692,1
3109316,1
3699125,1
1350419,1
4069661,1
2838927,1
5701888,1
1001331,1
2181122,1
2387812,1
1693542,1
22891,1
5152569,1
4325201,1
716906,1
5138112,1
2989451,1
728740,1
1123114,1
72325,1
5136335,1
1172124,1
3976216,1
3553393,1
2033549,1
268305,1
5675977,1
748407,1
600033,1
2670508,1
5510941,1
1299786,1
65070,1
940758,1
2000195,1
4609174,1
1562382,1
4414807,1
4276739,1
241064,1
2902842,1
370164,1
2973418,1
2826250,1
2950702,1
2744035,1
5529291,1
796677,1
3282035,1
5624374,1
4395257,1
517678,1
3848257,1
3405141,1
1332475,1
5281153,1
2924468,1
302120,1
5048724,1
5795405,1
4309324,1
3735128,1
1402753,1
689653,1
4205300,1
1851421,1
4239796,1
1534673,1
317982,1
2073939,1
3122013,1
819991,1
2413122,1
3769205,1
1967516,1
4720158,1
1345579,1
1271180,1
3450682,1
1520244,1
330413,1
5641039,1
4196730,1
3677614,1
783283,1
1157577,1
3887501,1
3326183,1
2196823,1
1935012,1
358821,1
1086855,1
4840837,1
154643,1
245973,1
1417218,1
2586733,1
1090763,1
4304051,1
1708618,1
2898196,1
4372117,1
4203956,1
1039703,1
436241,1
1044341,1
2992914,1
5327201,1
122892,1
3507299,1
4566357,1
5519652,1
1976964,1
4565692,1
433741,1
1778821,1
975169,1
337564,1
3457360,1
1063611,1
1894736,1
1745627,1
5084585,1
2426199,1
4809896,1
1574708,1
4780083,1
1155617,1
1437386,1
4760629,1
1405959,1
3840504,1
2425056,1
4059335,1
915205,1
3706543,1
5007855,1
1625448,1
4306572,1
2218817,1
1683366,1
2819747,1
4048669,1
847636,1
4821308,1
5678252,1
566734,1
5699877,1
3218383,1
4486660,1
2377950,1
3265567,1
4716490,1
2376531,1
1029523,1
1032913,1
4528926,1
2180242,1
5343204,1
1667346,1
5133633,1
3162106,1
543590,1
5515699,1
4950840,1
3785325,1
514880,1
4653910,1
2832996,1
4766636,1
4924604,1
944918,1
3846159,1
1630782,1
3637700,1
682333,1
4832920,1
479422,1
1715109,1
901007,1
3758381,1
5567917,1
1568915,1
1284893,1
1734326,1
486300,1
1999516,1
5801431,1
5471943,1
3083487,1
4360487,1
1037453,1
2973205,1
3494347,1
4919636,1
4915134,1
4361293,1
5671501,1
5383012,1
1320172,1
1455781,1
3735534,1
2581355,1
2906971,1
3165376,1
2412102,1
1153486,1
1928383,1
2669256,1
3826020,1
2169185,1
5693341,1
4759273,1
929015,1
2488573,1
5454948,1
399790,1
1099309,1
4565438,1
3481130,1
66489,1
2275561,1
5497895,1
133926,1
5399854,1
1831744,1
1102271,1
478583,1
3486736,1
4442928,1
3470913,1
2948314,1
2514571,1
3597578,1
4772934,1
5200347,1
3349199,1
609888,1
2795717,1
3783451,1
1294225,1
3424659,1
1582960,1
3132357,1
434204,1
2614260,1
324115,1
454446,1
3170096,1
3248480,1
5509529,1
4248118,1
125904,1
3864346,1
1187845,1
1828483,1
5571635,1
2976284,1
4157517,1
5685913,1
3788827,1
1783053,1
2038687,1
3660856,1
5370821,1
1247944,1
1216092,1
2117500,1
1716754,1
2662929,1
201434,1
639402,1
4850825,1
3000159,1
1650519,1
3767152,1
4791429,1
1078938,1
3908125,1
4904697,1
4606132,1
1819541,1
2000760,1
1206333,1
1460368,1
4268681,1
2065246,1
2472414,1
5518412,1
1252131,1
2027985,1
2618567,1
2403925,1
958220,1
1125714,1
4661456,1
1063143,1
1355920,1
2814621,1
2473688,1
2536239,1
594448,1
4607958,1
457928,1
2063209,1
476073,1
3689268,1
1765962,1
880854,1
1505894,1
2337137,1
2438011,1
4943104,1
4066740,1
3356599,1
789366,1
4550763,1
1932727,1
525258,1
5262118,1
5613451,1
5040612,1
4061682,1
2207005,1
302190,1
2102648,1
4613352,1
2278701,1
5307600,1
4067281,1
2598741,1
3057409,1
2995258,1
771082,1
3719745,1
2502464,1
3026512,1
409532,1
3006538,1
1687589,1
2338375,1
4459558,1
5112616,1
1432902,1
4911987,1
1541381,1
1329554,1
3078118,1
1032967,1
3236300,1
5132178,1
340673,1
4811556,1
2034670,1
4912223,1
4898052,1
3120517,1
165723,1
5403823,1
4897466,1
4587907,1
4946966,1
4199011,1
4666263,1
2703307,1
3294813,1
1958280,1
949416,1
509126,1
3214719,1
4358388,1
3381332,1
2803508,1
169157,1
4356353,1
437911,1
393975,1
904027,1
2841827,1
3169699,1
463053,1
4101750,1
1736828,1
5544451,1
5092102,1
2272546,1
667639,1
2050638,1
4683477,1
5096465,1
3533405,1
1566689,1
5024281,1
1893852,1
2754748,1
2887721,1
3715299,1
5439615,1
3961699,1
12749,1
5686063,1
945122,1
1503722,1
4068451,1
2748289,1
627709,1
1989190,1
835259,1
4284087,1
5222145,1
2137225,1
5795276,1
5238706,1
786596,1
3046624,1
5262522,1
1379458,1
1158808,1
5313521,1
1757551,1
4689701,1
5110985,1
1572486,1
3237389,1
5041110,1
5367344,1
5208291,1
1044078,1
1950879,1
4302979,1
4109599,1
2339064,1
4552465,1
72990,1
607120,1
3035016,1
4684654,1
2756355,1
2397849,1
4162547,1
1853444,1
5210309,1
5650356,1
744091,1
4604786,1
1511913,1
4263634,1
4661936,1
4092863,1
1345007,1
4377212,1
746155,1
2125942,1
5432012,1
3258354,1
5555860,1
4440684,1
5067624,1
658434,1
4656104,1
1252380,1
3042993,1
913919,1
1528118,1
4983391,1
3506446,1
1517989,1
3999374,1
372392,1
4320773,1
4214113,1
5087558,1
4624432,1
4426693,1
4206185,1
5480177,1
5580978,1
3004543,1
4416696,1
5211032,1
1511830,1
2511394,1
514080,1
3508533,1
4336229,1
1079212,1
2252482,1
5761776,1
4757348,1
4617926,1
3565364,1
4117914,1
4187167,1
1189030,1
460438,1
2626264,1
5726756,1
5319738,1
3262224,1
4109128,1
5158770,1
2550404,1
2454195,1
2314686,1
3801295,1
3672541,1
2043631,1
2927868,1
2648627,1
547878,1
1112741,1
4938499,1
3827838,1
5432636,1
1855567,1
1358337,1
3697288,1
4099728,1
2629568,1
3005120,1
5166183,1
2735867,1
1020335,1
245402,1
3169162,1
2890510,1
3010054,1
5631827,1
3794768,1
2174878,1
5494722,1
5422040,1
1046943,1
3685710,1
3215836,1
174449,1
5041351,1
2208382,1
3194420,1
1706651,1
2166864,1
3251632,1
3910016,1
2774685,1
1645965,1
1600893,1
4299886,1
892799,1
5246326,1
4555890,1
2600713,1
1161962,1
1693492,1
3470537,1
2491088,1
2004817,1
1279608,1
3738608,1
2832148,1
165546,1
4805488,1
58231,1
4400489,1
4650433,1
4338469,1
1641329,1
5625012,1
5079109,1
2776091,1
4643034,1
1756462,1
5110754,1
2475084,1
1038147,1
4687045,1
4321308,1
3968019,1
5081685,1
4513491,1
2819125,1
4036169,1
2376680,1
3793928,1
2874844,1
725083,1
5527327,1
183438,1
4043180,1
2362823,1
618504,1
5230822,1
5268722,1
1088370,1
2538843,1
1429385,1
819060,1
486108,1
5572578,1
3738322,1
5713315,1
4879654,1
924841,1
4153163,1
4467331,1
3626303,1
5518025,1
1368311,1
460528,1
3486638,1
5542739,1
4059429,1
3668990,1
1025646,1
4150228,1
1033508,1
2357338,1
2853906,1
2444850,1
2482874,1
5198706,1
203804,1
886775,1
5449901,1
3355997,1
4239605,1
1164132,1
2746508,1
1003273,1
4726658,1
4775693,1
3377155,1
2097221,1
1540109,1
1868430,1
1159574,1
5210767,1
38178,1
5007101,1
241051,1
5459995,1
5407179,1
3665398,1
3146889,1
529427,1
3233321,1
2397298,1
2590828,1
2179019,1
4469243,1
2897843,1
5672352,1
557721,1
4052474,1
3144989,1
3122210,1
2221768,1
3661879,1
2169268,1
5147996,1
2601374,1
1135484,1
915068,1
3584275,1
1257269,1
2109166,1
4285877,1
76733,1
4751451,1
10276,1
3944084,1
5412083,1
2358867,1
3567867,1
3113973,1
3413638,1
3359001,1
5013196,1
2122846,1
263569,1
1609668,1
1574068,1
498336,1
794092,1
1934755,1
4554337,1
4017580,1
205251,1
3762824,1
716039,1
5046241,1
3162523,1
2693780,1
796216,1
857913,1
3184096,1
4012372,1
3880852,1
5431360,1
2763085,1
2581187,1
1974067,1
5665436,1
1994589,1
5790861,1
524847,1
2346938,1
2927199,1
2264641,1
3187921,1
3917460,1
853227,1
1307500,1
2917741,1
2650147,1
1922169,1
5194418,1
4511678,1
3683322,1
2651407,1
